eos_id,family_group_id,model_family,underlying_primary_title,underlying_primary_url,source_reference_numbers,transition_pressure_mev_fm3,exact_formula_primary_verified,provenance_note,matter_class,parameter_block_id,model_superfamily_id,fit_source_title,fit_source_url,bag_b_mev_fm3,gap_delta_mev,strange_mass_mev,published_mmax_msun,published_r_at_mmax_km
MDI-1,H_MDI,Momentum-Dependent Interaction,Composition and structure of protoneutron stars; Equation of state for beta-stable hot nuclear matter,https://arxiv.org/abs/0805.0353,Stergakis refs. 15-16,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
MDI-2,H_MDI,Momentum-Dependent Interaction,Composition and structure of protoneutron stars; Equation of state for beta-stable hot nuclear matter,https://arxiv.org/abs/0805.0353,Stergakis refs. 15-16,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
MDI-3,H_MDI,Momentum-Dependent Interaction,Composition and structure of protoneutron stars; Equation of state for beta-stable hot nuclear matter,https://arxiv.org/abs/0805.0353,Stergakis refs. 15-16,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
MDI-4,H_MDI,Momentum-Dependent Interaction,Composition and structure of protoneutron stars; Equation of state for beta-stable hot nuclear matter,https://arxiv.org/abs/0805.0353,Stergakis refs. 15-16,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
NLD,H_NLD,Non-Linear Derivative,Momentum dependent mean-field dynamics of compressed nuclear matter and neutron stars; Toward relativistic mean-field description of N-nucleus reactions,https://doi.org/10.1016/j.nuclphysa.2013.01.002,Stergakis refs. 17-18,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
HHJ-1,H_HHJ,Heiselberg-Hjorth-Jensen,Phases of dense matter in neutron stars,https://arxiv.org/abs/nucl-th/9902033,Stergakis ref. 13,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
HHJ-2,H_HHJ,Heiselberg-Hjorth-Jensen,Phases of dense matter in neutron stars,https://arxiv.org/abs/nucl-th/9902033,Stergakis ref. 13,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
Ska,H_SKYRME,Skyrme,A Skyrme parametrization from subnuclear to neutron star densities; Nuclear-matter incompressibility from fits of generalized Skyrme force to breathing-mode energies,https://doi.org/10.1016/S0375-9474(97)00596-4,Stergakis refs. 20-21,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
SkI4,H_SKYRME,Skyrme,A Skyrme parametrization from subnuclear to neutron star densities; Nuclear-matter incompressibility from fits of generalized Skyrme force to breathing-mode energies,https://doi.org/10.1016/S0375-9474(97)00596-4,Stergakis refs. 20-21,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
HLPS-2,H_HLPS,Hebeler-Lattimer-Pethick-Schwenk,Equation of state and neutron star properties constrained by nuclear physics and observation,https://arxiv.org/abs/1303.4662,Stergakis ref. 14,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
HLPS-3,H_HLPS,Hebeler-Lattimer-Pethick-Schwenk,Equation of state and neutron star properties constrained by nuclear physics and observation,https://arxiv.org/abs/1303.4662,Stergakis ref. 14,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
SCVBB,H_SCVBB,Sharma-Centelles-Vinas-Baldo-Burgio,Unified equation of state for neutron stars on a microscopic basis,https://arxiv.org/abs/1506.00375,Stergakis ref. 19,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
WFF-1,H_WFF,Wiringa-Fiks-Fabrocini,Equation of state for dense nucleon matter,https://doi.org/10.1103/PhysRevC.38.1010,Stergakis ref. 23,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
WFF-2,H_WFF,Wiringa-Fiks-Fabrocini,Equation of state for dense nucleon matter,https://doi.org/10.1103/PhysRevC.38.1010,Stergakis ref. 23,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
PS,H_PS,Pethick-Schwenk,,,No primary citation attached to PS in fit source,0.696,False,"Exact repository coefficients verified against the 2025 fit source, which gives no primary citation for PS.",hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
W,H_WALECKA,Walecka,A theory of highly-condensed matter,https://doi.org/10.1016/0003-4916(74)90132-8,Stergakis ref. 22,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
BGP,H_BGP,Bowers-Gleeson-Pedigo,Relativistic superdense matter in cold systems: Theory,https://doi.org/10.1103/PhysRevD.12.3043,Stergakis ref. 10,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
BL-1,H_BL,Bombaci-Logoteta,Equation of state of dense nuclear matter and neutron star structure from nuclear chiral interactions,https://arxiv.org/abs/1805.11846,Stergakis ref. 11,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
BL-2,H_BL,Bombaci-Logoteta,Equation of state of dense nuclear matter and neutron star structure from nuclear chiral interactions,https://arxiv.org/abs/1805.11846,Stergakis ref. 11,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
DH,H_DH,Douchin-Haensel,A unified equation of state of dense matter and neutron star structure,https://arxiv.org/abs/astro-ph/0111092,Stergakis ref. 12,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
APR-1,H_APR,Akmal-Pandharipande-Ravenhall,Equation of state of nucleon matter and neutron star structure,https://arxiv.org/abs/nucl-th/9804027,Stergakis ref. 9,0.184,False,Exact repository coefficients verified only against the 2025 fit source; underlying primary paper identifies the model family.,hadronic,,H_REPOSITORY_SURROGATES,Reconstruction of the Equations of State (EoSs) of Compact Stars using machine and deep learning regression techniques,https://arxiv.org/abs/2509.13037,,,,,
